category,name,price,description,active
Breakfast/Snacks,Meat Samosa (2pcs),1.50,,TRUE
Breakfast/Snacks,Veg Samosa (2pcs),1.50,,TRUE
Breakfast/Snacks,Chicken Samosa (2pcs),1.50,,TRUE
Breakfast/Snacks,Egg Roll,2.50,,TRUE
Breakfast/Snacks,Omelet with Slice Bread,3.00,,TRUE
Breakfast/Snacks,Scrambled Egg with Slice Bread,3.00,,TRUE
Breakfast/Snacks,Poori Bhaji,4.50,,TRUE
Breakfast/Snacks,Chana Bhatura,6.00,,TRUE
Breakfast/Snacks,Pakora / Bhajia (Veg/Onion/Potato),5.50,,TRUE
Breakfast/Snacks,Alu Paratha,2.50,,TRUE
Breakfast/Snacks,Vada Pav (2pcs),2.50,,TRUE
Sandwich/Wrap,Veg/Chicken/Beef Sandwich,5.00,"Cheese, lettuce, onion, bell pepper, cucumber served with crispy fries",TRUE
Sandwich/Wrap,Club Sandwich,7.00,"Chicken, egg, lettuce, tomato, mozzarella served with crispy fries",TRUE
Sandwich/Wrap,Paneer Shawarma,4.50,,TRUE
Sandwich/Wrap,Chicken/Beef Shawarma,5.50,,TRUE
Burgers,Veg Burger,3.50,A delicious all veggie patty grilled and served on a freshly baked bun with crispy fries,TRUE
Burgers,Chicken Burger,5.50,"Minced chicken patty with onion, tomato, bread crumbs and herbs served with fries",TRUE
Burgers,American Burger,5.00,"Grilled beef patty on bbq sauce with lettuce, avocado, cheese served with crispy fries",TRUE
Pizza,Margarita Pizza,6.50,"Tomato slice, cheese, oregano, salt and pepper",TRUE
Pizza,Vegetariana Pizza,7.00,"Tomato, bell pepper, mushroom, onion and cheese",TRUE
Pizza,Chicken Pizza,8.00,"Grilled chicken in BBQ sauce, cheese, olives",TRUE
Pizza,Hawaiian Pizza,8.50,"Tomato sauce, cheese, pineapple, chicken",TRUE
Pizza,4 Seasons Pizza,8.00,"Chicken, vegetable, beef, margarita",TRUE
Pizza,Chef's Special Pizza,8.50,"Garden fresh veg, chicken, lamb, tuna, olives and cheese",TRUE
